Name,First Name,Last Name,Institution,Zip code,Thrust ,,,,,,,,,,,,,,,,,,,,
Kofi Adu,Kofi,Adu,,,,,,,,,,,,,,,,,,,,,,,
N. Agrawal,,Agrawal,,,,,,,,,,,,,,,,,,,,,,,
R. Aitken,,Aitken,,,,,,,,,,,,,,,,,,,,,,,
Sunil K. Arya,Sunil,Arya,,,,,,,,,,,,,,,,,,,,,,,
B. Bent,Brinnae,Bent,North Carolina State University,,HET/SAP Testbeds,,,,,,,,,,,,,,,,,,,,
E. Beppler,Eric,Beppler,North Carolina State University,,HET/SAP Testbeds,,,,,,,,,,,,,,,,,,,,
P. Beshay,Peter,Beshay,University of Virginia,,,,,,,,,,,,,,,,,,,,,,
Shekhar Bhansali,Shekhar,Bhansali,Florida International University,,Wearable Nanosensors,,,,,,,,,,,,,,,,,,,,
A. Bozkurt,Alper,Bozkurt,North Carolina State University,,Wearable Nanosensors/HET/SAP Testbeds,,,,,,,,,,,,,,,,,,,,
Barry Brennan,Barry,Brennan,,,,,,,,,,,,,,,,,,,,,,,
B. H. Calhoun,Benton,Calhoun,North Carolina State University,,Integrated Sensor Nod Design/HET/SAP Testbeds,,,,,,,,,,,,,,,,,,,,
Linyou Cao,Linyou,Cao,,,,,,,,,,,,,,,,,,,,,,,
V. Chandra,,Chandra,,,,,,,,,,,,,,,,,,,,,,,
"Eom,chang-beom",Eom,Chang-Beom,,,,,,,,,,,,,,,,,,,,,,,
V. Chobpattana,,Chobpattana,,,,,,,,,,,,,,,,,,,,,,,
Zheng Cui,Zheng,Cui,North Carolina State University,,Wearable Nanosensors,,,,,,,,,,,,,,,,,,,,
A. R. Dasu,,Dasu,,,,,,,,,,,,,,,,,,,,,,,
Suman Datta,Suman,Datta,Penn State University ,,Low-Power Nanoelectronics,,,,,,,,,,,,,,,,,,,,
Jin Di,Jin,Di,,,,,,,,,,,,,,,,,,,,,,,
Andres Felipe Diaz Cruz,Andres,Diaz Cruz,Florida International University,,Integrated Sensor Node,,,,,,,,,,,,,,,,,,,,
J. P. Dieffenderfer,James,Dieffenderfer,North Carolina State University,,Wearable Nanosensors,,,,,,,,,,,,,,,,,,,,
L. Du,,Du,,,,,,,,,,,,,,,,,,,,,,,
"John W. Durham, Iii",John,Durham,,,,,,,,,,,,,,,,,,,,,,,
C. Eichfeld,,Eichfeld,,,,,,,,,,,,,,,,,,,,,,,
"El-zahab, Bilal",Bilal,El-Zahab,Florida International University,,Energy Harvesting and Storage,,,,,,,,,,,,,,,,,,,,
Roman Engel-herbert,Roman,Engel-Herbert,,,,,,,,,,,,,,,,,,,,,,,
M. Fritze,,Fritze,,,,,,,,,,,,,,,,,,,,,,,
Tushar K. Ghosh,Tushar,Ghosh,,,,,,,,,,,,,,,,,,,,,,,
H. Goodell,Henry,Goodell,North Carolina State University,,HET/SAP Testbeds,,,,,,,,,,,,,,,,,,,,
J. J. Granacki,,Granacki,,,,,,,,,,,,,,,,,,,,,,,
M. D. Gregory,,Gregory,,,,,,,,,,,,,,,,,,,,,,,
Zhen Gu,Zhen,Gu,North Carolina State University,,Wearable Nanosensors,,,,,,,,,,,,,,,,,,,,
Alper Gurarslan,Alper,Gurarslan,,,,,,,,,,,,,,,,,,,,,,,
K. Henry,,Henry,,,,,,,,,,,,,,,,,,,,,,,
H. Huang,,Huang,,,,,,,,,,,,,,,,,,,,,,,
A Hunt,,Hunt,,,,,,,,,,,,,,,,,,,,,,,
S A Ishmael,,Ishmael,,,,,,,,,,,,,,,,,,,,,,,
Thomas N. Jackson,Thomas,Jackson,Penn State University,,Energy Harvesting and Storage,,,,,,,,,,,,,,,,,,,,
M. Jagasivamani,,Jagasivamani,,,,,,,,,,,,,,,,,,,,,,,
R. Jayakumar,,Jayakumar,,,,,,,,,,,,,,,,,,,,,,,
Z. H. Jiang,Zhihao,Jiang,Penn State University,,Integrated Sensor Node Design,,,,,,,,,,,,,,,,,,,,
J. S. Jur,Jesse,Jur,North Carolina State University,,System Testbeds,,,,,,,,,,,,,,,,,,,,
Jim Kalupson,Jim,Kalupson,,,,,,,,,,,,,,,,,,,,,,,
Ajeet Kaushik,Ajeet,Kaushik,Florida International University,,Wearable Nanosensors,,,,,,,,,,,,,,,,,,,,
M. Kuhn,,Kuhn,,,,,,,,,,,,,,,,,,,,,,,
"Kumar, Rajesh",Rajesh,Kumar,,,,,,,,,,,,,,,,,,,,,,,
M. Kumar,Mohit,Kumar,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,
M. Labella,,Labella,,,,,,,,,,,,,,,,,,,,,,,
B. Lee,Bongmook,Lee,North Carolina State University,,Wearable Nanosensors,,,,,,,,,,,,,,,,,,,,
Yuanyuan V. Li,Yuanyuan,Li,Penn State University,,Energy Harvesting and Storage,,,,,,,,,,,,,,,,,,,,
S. Li,,Li,,,,,,,,,,,,,,,,,,,,,,,
"Li, Xueqing",Xueqing,Li,Penn State University,,Low-Power Nanoelectronics,,,,,,,,,,,,,,,,,,,,
H. Liu,Huichu,Liu,Penn State University,,Low-Power Nanoelectronics,,,,,,,,,,,,,,,,,,,,
"Liu, Yongpan",Yongpan,Liu,,,,,,,,,,,,,,,,,,,,,,,
H Luo,,Luo,,,,,,,,,,,,,,,,,,,,,,,
Danhao Ma,Danhao,Ma,Penn State University,,,,,,,,,,,,,,,,,,,,,,
"Ma, Xiaokun",Xiaokun,Ma,Penn State University,,Energy Harvesting and Storage,,,,,,,,,,,,,,,,,,,,
"Ma, Kaisheng",Kaisheng,Ma,Penn State University,,,,,,,,,,,,,,,,,,,,,,
S. Mahapatra,,Mahapatra,,,,,,,,,,,,,,,,,,,,,,,
M. M. Mahmud,Marzana Mantasha,Mahmud,North Carolina State University,,Wearable Nanosensors,,,,,,,,,,,,,,,,,,,,
J. Maier,,Maier,,,,,,,,,,,,,,,,,,,,,,,
N Mandzy,,Mandzy,,,,,,,,,,,,,,,,,,,,,,,
"Manickam, Pandiaraj",Pandiaraj,Manickam,Florida International University,,Wearable Nanosensors,,,,,,,,,,,,,,,,,,,,
L. Mcilrath,,Mcilrath,,,,,,,,,,,,,,,,,,,,,,,
S. Mills,steven,Mills,North Carolina State University,,Wearable Nanosensors,,,,,,,,,,,,,,,,,,,,
V. Misra,Veena,Misra,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,
Dheeraj Mohata,Dheeraj,Mohata,,,,,,,,,,,,,,,,,,,,,,,
"Moradi, Kamran",Kamran,Moradi,,,,,,,,,,,,,,,,,,,,,,,
S. Mukhopadhyay,,Mukhopadhyay,,,,,,,,,,,,,,,,,,,,,,,
"Muth, John F",John,Muth,North Carolina State University,,Wearable Nanosensors,,,,,,,,,,,,,,,,,,,,
A. Myers,Amanda,Myers,North Carolina State University,,"Wearablility, Human Interface and Data",,,,,,,,,,,,,,,,,,,,
H. T. Nagle,,Nagle,,,,,,,,,,,,,,,,,,,,,,,
"Nair, Madhavan",Madhavan,Nair,,,,,,,,,,,,,,,,,,,,,,,
"Narayanan, Vijaykrishnan",Vijaykrishnan,Narayanan,Penn State University,,,,,,,,,,,,,,,,,,,,,,
R Nesbit,,Nesbit,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Norena,Nicolas,Norena,Florida International University,,Integrated Sensor Node,,,,,,,,,,,,,,,,,,,,
Mehmet Ozturk,Mehmet,Ozturk,North Carolina State University,,Energy Harvesting and Storage,,,,,,,,,,,,,,,,,,,,
R. Pandey,Rahul,Pandey,Penn State University,,Low-Power Nanoelectronics,,,,,,,,,,,,,,,,,,,,
Syed Khalid Pasha,Syed,Pasha,Florida International University,,Wearable Nanosensors,,,,,,,,,,,,,,,,,,,,
T Paskova,,Paskova,,,,,,,,,,,,,,,,,,,,,,,
D. Peden,David,Peden,University of North Carolina-Chapel Hill,,System Testbeds,,,,,,,,,,,,,,,,,,,,
"Rahn, Christopher D",Christopher,Rahn,Penn State University,,Energy Harvesting and Storage,,,,,,,,,,,,,,,,,,,,
Ramakrishnan Rajagopalan,Ramakrishnan,Rajagopalan,Penn State University,,Energy Harvesting and Storage,,,,,,,,,,,,,,,,,,,,
Bijesh Rajamohanan,Bijesh,Rajamohanan,Penn State University,,Low-Power Nanoelectronics,,,,,,,,,,,,,,,,,,,,
Clive A. Randall,Clive,Randall,Penn State University,,Energy Harvesting and Storage,,,,,,,,,,,,,,,,,,,,
S Roundy,Shad,Roundy,University of Utah,,,,,,,,,,,,,,,,,,,,,,
David B. Saint John,David,Saint John,,,,,,,,,,,,,,,,,,,,,,,
"Sampson, John",John,Sampson,,,,,,,,,,,,,,,,,,,,,,,
J Schwartz,,Schwartz,,,,,,,,,,,,,,,,,,,,,,,
"Singh, Aparajita",Aparajita,Singh,Florida International University,,Wearable Nanosensors,,,,,,,,,,,,,,,,,,,,
M Slomski,,Slomski,,,,,,,,,,,,,,,,,,,,,,,
S. Stemmer,,Stemmer,,,,,,,,,,,,,,,,,,,,,,,
W Straka,,Straka,,,,,,,,,,,,,,,,,,,,,,,
Liqin Su,Liqin,Su,,,,,,,,,,,,,,,,,,,,,,,
Francisco Suarez,Francisco,Suarez,North Carolina State University,,Energy Harvesting and Storage,,,,,,,,,,,,,,,,,,,,
Kaige G. Sun,Kaige,Sun,Penn State University,,Energy Harvesting and Storage,,,,,,,,,,,,,,,,,,,,
K. Swaminathan,,Swaminathan,,,,,,,,,,,,,,,,,,,,,,,
A. R. Trivedi,,Trivedi,,,,,,,,,,,,,,,,,,,,,,,
"Trolier-mckinstry, Susan",Susan,Trolier-McKinstry,Penn State University,,Energy Harvesting and Storage,,,,,,,,,,,,,,,,,,,,
Abhay Vasudev,Abhay,Vasudev,Florida International Univesity,,Low-Power Nanoelectronics,,,,,,,,,,,,,,,,,,,,
Robert M. Wallace,Robert,Wallace,,,,,,,,,,,,,,,,,,,,,,,
K. Wang,,Wang,,,,,,,,,,,,,,,,,,,,,,,
"Wang, Yan",Yan,Wang,,,,,,,,,,,,,,,,,,,,,,,
P. L. Werner,,Werner,,,,,,,,,,,,,,,,,,,,,,,
D. H. Werner,Douglas,Werner,Penn State University,,Low-Power Nanoelectronics,,,,,,,,,,,,,,,,,,,,
M White,,White,,,,,,,,,,,,,,,,,,,,,,,
"Xie, Yuan",Yuan,Xie,,,,,,,,,,,,,,,,,,,,,,,
T Xue,Tiancheng,Xue,University of Utah,,Energy Harvesting and Storage,,,,,,,,,,,,,,,,,,,,
F. Y. Yamaner,Feysel,Yamaner,North Carolina State University,,Wearable Nanosensors,,,,,,,,,,,,,,,,,,,,
Shanshan Yao,Shanshan,Yao,North Carolina State University,,Wearable Nanosensors,,,,,,,,,,,,,,,,,,,,
Yanqi Ye,Yanqi,Ye,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,
"Yeo, Hong Goo",Hong Goo,Yeo,Penn State University,,Energy Harvesting and Storage,,,,,,,,,,,,,,,,,,,,
M. A. Yokus,Murat,Yokus,North Carolina State University,,System Testbeds,,,,,,,,,,,,,,,,,,,,
Yifei Yu,Yifei,Yu,,,,,,,,,,,,,,,,,,,,,,,
Yiling Yu,Yiling,Yu,,,,,,,,,,,,,,,,,,,,,,,
Jicheng Yu,Jicheng,Yu,,,,,,,,,,,,,,,,,,,,,,,
T. Yue,Taiwei,Yue,Penn State University,,Low-Power Nanoelectronics,,,,,,,,,,,,,,,,,,,,
Yong Zhang,Yong,Zhang,,,,,,,,,,,,,,,,,,,,,,,
Xiao Zhang,Xiao,Zhang,North Carolina State University,,Wearable Nanosensors,,,,,,,,,,,,,,,,,,,,
Y. Zheng,,Zheng,,,,,,,,,,,,,,,,,,,,,,,
Dmitry Zhernokletov,Dmitry,Zhernokletov,,,,,,,,,,,,,,,,,,,,,,,
Yong Zhu,Yong,Zhu,North Carolina State University,,Wearable Nanosensors,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
